TESTPLAN;SettlementEOD - Functioneel Gebruikerstestplan
STUDENT;Aryan Bhaggoe
LEERBEDRIJF;Rosheuvel & Partners Business Group N.V. (RPBG)
VERSIE;2026-06-17
SCOPE;Alle geimplementeerde EOD- en settlement-functionaliteiten conform de MoSCoW-lijst. Dekt Must-haves (M1-M6), Should-haves (S1-S4) en Could-haves (C1-C5). Alleen functies die zichtbaar en actief zijn in de huidige systeemvariant.
VOORWAARDEN;(1) Backend draait op http://localhost:8000. (2) Frontend draait op http://localhost:5173. (3) Testdatabase is beschikbaar met seed-data: admin-gebruiker (gebruikersnaam: admin / wachtwoord: admin123) en minimaal twee testbanken in de banks-tabel. (4) Een OPERATOR-gebruiker en een VIEWER-gebruiker zijn aangemaakt door de ADMIN voor aanvang van het testen. (5) Een geldig test-CSV-bestand is beschikbaar met de kolommen: source_bank_code, destination_bank_code, amount, transaction_type (ATM of POS), reference, transaction_date.
PROCESS;TESTCASE;STAP;BESCHRIJVING;STATUS;VERWACHT RESULTAAT;WERKELIJK RESULTAAT;COMMENTS
Cut-off beheer (C3);Cut-off schema instellen;1;Log in als OPERATOR en ga naar het tabblad Cut-off beheer.;Open;Het cut-off scherm opent en toont het huidige schema (cutoff_time en is_auto_enabled).;;
Cut-off beheer (C3);Cut-off schema instellen;2;Verander de cutoff_time naar 17:00 en schakel is_auto_enabled in. Klik op Opslaan.;Open;De instelling wordt opgeslagen. Het scherm toont de nieuwe waarde 17:00 en automatisch = aan.;;
Cut-off beheer (C3);Cut-off schema instellen;3;Open het cut-off schema opnieuw ter verificatie.;Open;De opgeslagen waarden (17:00, automatisch aan) zijn nog steeds aanwezig.;;
Cut-off beheer (C3);Ongeldige cutoff_time blokkeren;1;Probeer de cutoff_time in te stellen op de waarde 25:00 of abc.;Open;Het systeem weigert de invoer met een validatiefout: cutoff_time moet in HH:MM-formaat zijn.;;
Cut-off beheer (C3);Handmatige cut-off activeren;1;Ga naar het tabblad Cut-off beheer en kies een testdatum waarop nog geen cut-off is geregistreerd.;Open;De cut-off activeren-knop is beschikbaar voor de geselecteerde datum.;;
Cut-off beheer (C3);Handmatige cut-off activeren;2;Klik op Cut-off activeren voor de testdatum.;Open;De cut-off wordt geregistreerd. Het systeem toont: settlement_date, cutoff_timestamp, status = ACTIVE en de gebruiker die de actie heeft uitgevoerd.;;
Cut-off beheer (C3);Dubbele cut-off blokkeren;1;Probeer de cut-off nogmaals te activeren voor dezelfde datum als in de vorige testcase.;Open;Het systeem geeft een foutmelding (HTTP 409): er bestaat al een cut-off voor deze datum.;;
Cut-off beheer (C3);Meest recente cut-off opvragen;1;Gebruik de API-route GET /cutoff/latest of de bijbehorende UI-weergave om de meest recente cut-off op te vragen.;Open;De meest recent geregistreerde cut-off wordt getoond met datum, tijdstip en status.;;
Dashboard monitoring (C2);Dashboard openen na login;1;Log in als een willekeurige gebruiker en bekijk het volledige dashboard.;Open;Het dashboard laadt zonder foutmelding. De volgende tabs zijn zichtbaar: EOD Run, Bankposities, Bilaterale Settlements, Validatie, Proceslogboek, Transacties, CSV Upload, Cut-off en Simulatie.;;
Dashboard monitoring (C2);EOD-status bekijken voor verwerkte datum;1;Selecteer in het dashboard een datum waarvoor een EOD-run is voltooid.;Open;Het dashboard toont: status = SUCCESS of FAILED, total_transactions, total_debit, total_credit, bankposities, validatieresultaten, proceslogboek en file_info.;;
Dashboard monitoring (C2);EOD-status bekijken voor niet-verwerkte datum;1;Selecteer in het dashboard een datum waarvoor nog geen EOD-run is uitgevoerd.;Open;Het dashboard toont: status = NOT_RUN, total_transactions = 0, geen bankposities of validatieresultaten.;;
Toegangscontrole (S2);VIEWER kan geen EOD starten;1;Log in als VIEWER en ga naar het tabblad EOD Run. Probeer de EOD-run te starten.;Open;De knop EOD uitvoeren is niet beschikbaar of het systeem geeft HTTP 403 Forbidden bij het proberen te starten.;;
Toegangscontrole (S2);VIEWER kan geen CSV uploaden;1;Log in als VIEWER en ga naar het tabblad CSV Upload. Probeer een bestand te uploaden.;Open;De uploadfunctionaliteit is niet beschikbaar of het systeem geeft HTTP 403 Forbidden.;;
Toegangscontrole (S2);OPERATOR kan geen gebruikers beheren;1;Log in als OPERATOR en probeer de gebruikersbeheer-API aan te roepen (GET /auth/users of POST /auth/register).;Open;Het systeem geeft HTTP 403 Forbidden. Gebruikersbeheer is voorbehouden aan ADMIN.;;
Toegangscontrole (S2);ADMIN heeft volledige toegang;1;Log in als ADMIN en controleer dat alle functies beschikbaar zijn: EOD starten, CSV uploaden, simulatie, cut-off, audit log en gebruikersbeheer.;Open;Alle functies zijn toegankelijk voor de ADMIN-gebruiker zonder toegangsbeperkingen.;;
